Source_File,ID,Task description,Task reference,CAT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE WING-TIP BRAKE AND THE PRESSURE-OFF BRAKE,AMM 27-81-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE ELEVATOR AND AILERON COMPUTERS (ELACS),AMM 27-93-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE SPOILER ELEVATOR COMPUTER (SECS),AMM 27-94-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,BITE TEST OF THE EFCS (GROUND SCANNING),AMM 27-96-00-740-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/ INSTALLATION OF THE NEW- GENERATION SIDE STICK UNIT (SSU),AMM 27-92-41-000/400- 802-A,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION ELEVATOR AILERON COMPUTER (ELAC),AMM,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION SPOILER ELEVATOR COMPUTER (SEC),AMM,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,F/CTL ON MAINTENANCE STATUS,TSM 27-00-00-810-801-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FLT CTL,MEL 27-0,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,SFCC FLAP CHANNEL,MEL 27-51-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,SFCC SLAT CHANNEL,MEL 27-81-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ELAC 1,MEL 27-93-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,SEC SYSTEM,MEL 27-94,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL CHECK OF LP SHUT OFF VALVES INCLUDING OPERATION BY INDIVIDUAL MOTORS,AMM 28-24-00-710-803,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE FUEL QUANTITY INDICATING SYSTEM,AMM 28-42-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,STATUS REPORT (BITE),AMM 28-42-00-740-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,INTERROGATION OF THE FQIS INPUT PARAMETERS PAGES,AMM 28-42-00-740-003-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION REFUEL/DEFUEL CONTROL PANEL,AMM,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION,AMM,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION FUEL QUANTITY INDICATING COMPUTER,AMM 28-42-34-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FUEL QUANTITY INDICATIONS ON THE FUEL SD PAGE,MEL 28-07-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,VALVE INDICATIONS ON THE FUEL SD PAGE,MEL 28-07-04,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,LH WING TRANSFER VALVE,MEL 28-15-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,WING TANK PUMP,MEL 28-21-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FUEL QUANTITY PRESELECTOR,MEL 28-25-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FUEL QUANTITY ON THE REFUEL/DEFUEL CONTROL PANEL,MEL 28-25-02,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REFUEL VALVE,MEL 28-25-03,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,CHECK OF SYSTEM PRESSURE/QUANTITY INDICATION ON THE ECAM,AMM 29-30-00-200-001/002-A,I/C
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/ INSTALLATION PRESSURE SWITCH - SYSTEM,AMM 29-32-12,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/ INSTALLATION PRESSURE TRANSDUCER  HYDRAULIC,AMM 29-32-11,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,INDICATIONS ON THE HYD SD PAGE,MEL 29-07,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,YELLOW SYSTEM ELECTRIC PUMP,MEL 29-24-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE PROBE ICE PROTECTION,AMM 30-31-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST TO READ THE CLASS 3 FAULTS,AMM 30-31-00-710-002-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FUNCTIONAL TEST OF THE HEATING OF THE ANGLE OF ATTACK SENSOR,AMM 30-31-00-710-802-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FUNCTIONAL CHECK OF THE INSULATION RESISTANCE OF THE PITOT PROBE HEATER,AMM 30-31-00-720-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE PROBE HEAT COMPUTER (PHC),AMM 30-31-34,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE WINDOW HEAT COMPUTER (WHC),AMM 30-42-34,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,PROBE HEAT COMPUTER (PHC),MEL 30-31-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,PITOT HEATER,MEL 30-31-02,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,STATIC PORT HEATER,MEL 30-31-03,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,WINDSHIELD ANTI-ICING AND DEFOGGING,MEL 30-42,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,WINDSHIELD RAIN PROTECTION,MEL 30-45,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,WASTE WATER DRAIN MAST HEATING SYSTEM,MEL 30-71-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,PROCEDURE TO SET THE CLOCK,AMM 31-21-00-750-002-A,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,BITE TEST OF THE CENTRALIZED FAULT DISPLAY INTERFACE UNIT (CFDIU),AMM 31-32-00-740-002-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,READOUT PROCEDURE OF THE DIGITAL FLIGHT DATA RECORDER,AMM 31-33-00-710-009-A,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,RECORDER - DIGITAL FLIGHT DATA (DFDR) - REMOVAL/ INSTALLATION,AMM 31-33-55-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,PRINTOUT OF THE STORED REPORTS,AMM 31-36-00-740-010-A,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ACCESS TO THE PARAMETER CALL-UP MENUS,AMM 31-36-00-740-008-A,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,UPDATE OF THE ENGINE HOURS AND CYCLES IN THE FLIGHT DATA INTERFACE AND MANAGEMENT UNIT (FDIMU),AMM 31-36-00-740-014-A,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,"UPDATE OF THE APU HOURS AND CYCLES IN THE FDIMU AFTER APU, ECB OR FDIMU REPLACEMENT",AMM 31-36-00-740-013-A,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,TEST OF THE FLIGHT DATA INTERFACE AND MANAGEMENT UNIT (FDIMU),AMM 31-36-00-740-012-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,READ AIDS REPORT,AMM 31-37-XX,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,GROUND SCANNING OF THE CENTRAL WARNING SYSTEM,AMM 31-50-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE EIS,AMM 31-60-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL CHECK OF BRIGHTNESS CONTROL THROUGH MCDU,AMM 31-60-00-740-010-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE CFDIU,AMM 31-32-34-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ALTERNATE:  REMOVAL/INSTALLATION OF THE FDIU/DMU (FDIMU),AMM 31-36-34-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ALTERNATE: REMOVAL/INSTALLATION OF THE FWC,AMM 31-53-34-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ALTERNATE: REMOVAL/INSTALLATION OF THE SDAC,AMM 31-55-34-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE DISPLAY UNIT (DU),AMM 31-63-22-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,CAPT PFD DU BLANK,TSM 31-63-82-810-833-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,INDICATIONS ON THE PRIMARY FLIGHT DISPLAY (PFD),MEL 31-05,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,INDICATIONS ON THE NAVIGATION DISPLAY (ND),MEL 31-06,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,INDICATIONS ON THE SYSTEM DISPLAY (SD),MEL 31-07,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,DISPLAY UNIT (DU),MEL 31-63,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FLIGHT CONFIGURATION PRECAUTIONS WITH ELECTRICAL POWER,AMM 32-00-00-860-001-A,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FUNCTIONAL CHECK OF LGCIU POWER SUPPLY RELAYS,AMM 32-31-00-720-008-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,BITE CHECK OF LANDING-GEAR CONTROL INTERFACE-UNIT (LGCIU) WITH USE OF MCDU TO ENSURE THAT CONTINUOUS BITE IS OPERATIVE,AMM 32-69-00-740-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,SIMULATION OF FLIGHT WITH FALSE TARGETS (WITH AIRCRAFT ON GROUND),AMM 32-69-00-860-802-A,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ALTERNATE: SIMULATION OF FLIGHT (WITH AIRCRAFT ON GROUND),AMM 32-69-00-860-001-A,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE LGCIU,AMM 32-31-71-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,L/G SYS DISAGREE,TSM 32-31-00-810-888-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,BRAKE N/WS MINOR FAULT,TSM 32-43-00-810-833-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,INDICATIONS ON THE WHEEL SD PAGE,MEL 32-07,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,BRAKE TEMPERATURE MONITORING UNIT (BTMU),MEL 32-47-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,BRAKING/STEERING CONTROL UNIT (BSCU) SYSTEM 1,MEL 32-42-03,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,AUTO/BRK FUNCTION,MEL 32-42-05,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,PARKING BRAKE LIGHT ON THE NWS ELECTRICAL DEACTIVATION BOX,MEL 32-51-04,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE GENERAL ILLUMINATION,AMM 33-12-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE INSTRUMENT AND PANEL INTEGRAL-LIGHTING,AMM 33-13-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL CHECK OF THE LIGHT TEST SYSTEM,AMM 33-14-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,CHECK BATTERY CAPACITY (CABIN EMERGENCY LIGHTING),AMM 33-51-00-710-003-A,I/C
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE CABIN EMERGENCY LIGHT,AMM 33-51-11-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE EMERGENCY POWER SUPPLY UNIT (EPSU),AMM 33-51-38-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE BATTERY OF THE EMERGENCY POWER SUPPLY UNIT (EPSU),AMM 33-51-38-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/ INSTALLATION OF LOGO LIGHTS,AMM 33-47-11-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/ INSTALLATION OF WING-TIP NAV LIGHTS.,AMM 33-41-11-000/400-001-A,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE NAVIGATION LIGHT  SHARKLET,AMM 33-41-11-000/400-802-A,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,INTERGRATED LIGHT INOP ON SOME VU PANELS,TSM 33-13-00-810-801-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ANNUNCIATOR LIGHT INOP,TSM 33-14-00-810-802-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,SOME CABIN LIGHT CAN NOT DIM OR SWITCH OFF,TSM 33-21-00-810-803-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,READING LIGHT AT SEAT ROW INOP,TSM 33-25-00-810-802-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,LANDING LIGHT,TSM 33-42-00-810-80-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,COCKPIT GENERAL ILLUMINATION,MEL 33-10-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,CABIN GENERAL ILLUMINATION,MEL 33-20-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,CABIN SIGNS (NO SMOKING/NO ELECTRONIC DEVICES/FASTEN SEAT BELT/RETURN TO SEAT),MEL 33-20-02,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,LIGHT EXTENSION/ RETRACTION SYSTEM,MEL 33-40,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,CABIN EMERGENCY LIGHTING,MEL 33-51,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,TAXI LIGHT LAMP 8LR,CDL 33-02,CDL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,LIGHT LEN,CDL 33-0,CDL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,TAKEOFF LIGHT LAMP 7LR,CDL 33-09,CDL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,INDICATOR - ISIS (INTEGRATED STANDBY INSTRUMENT SYSTEM) - REMOVAL/ INSTALLATION.,AMM 34-22-25-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE PITOT,AMM 34-11-15-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REFERENCE UNIT - AIR DATA/INERTIAL (ADIRU) - REMOVAL/ INSTALLATION,AMM 34-12-34-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ADIRU REMOVAL CRITERIA,AMM 34-12-34-200-001-A,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,LEAK TEST OF THE PRINCIPAL STATIC AND TOTAL AIR DATA SYSTEM,AMM 34-13-00-790-002-A,I/C
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,LOW-RANGE LEAK TEST OF THE STANDBY PNEUMATIC CIRCUITS,AMM 34-21-00-790-001,SGH
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL CHECK OF THE FIVE-MINUTE TIME DELAY OF ADIRU2 AND ADIRU3 POWER DISCONNECTION IN EMERGENCY CONFIGURATION,AMM 34-10-00-710-009-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL CHECK OF ISIS DC HOT BUS SUPPLY,AMM 34-22-25-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ADR 2 INOP,MEL 34-10-02B,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,IR 1/2/3 INOP,MEL 34-1,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,RECEIVER - ILS/MMR - REMOVAL/ INSTALLATION,AMM 34-36-31-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ILS 1 INOP,MEL 34-30-04,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,NAV GPS 1 FAULT.,MEL 34-50-09,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,SYSTEM TEST OF THE WEATHER RADAR.,AMM 34-41-00-730-001-A,AT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,BITE TEST OF THE WEATHER RADAR,AMM 34-41-00-740-002-A,AT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,TRANSCEIVER - WEATHER RADAR - REMOVAL/ INSTALLATION.,AMM 34-41-33-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,WEATHER RADAR SYSTEM,MEL34-40-06,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,PREDICTIVE WINDSHEAR DETECTION SYSTEM,MEL34-40-07,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FUNCTIONAL TEST OF THE TCAS ANTENNAS,AMM 34-43-00-720-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ANTENNA - TCAS - REMOVAL/ INSTALLATION,AMM 34-43-11-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,UPLOADING OF THE TAWS DATABASE,AMM 34-43-00-610-004-A,SGH
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,NAV TCAS FAULT,MEL 34-40-05,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FUNCTIONAL TEST OF THE ATC/MODE S TRANSPONDER,AMM 34-52-00-720-005-A02,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FUNCTIONAL TEST OF THE ALTITUDE REPORTING FUNCTION.,AMM 34-52-00-720-004-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FAILURE OF THE ATC/MODE S TRANSPONDER 1,TSM 34-52-00-810-801-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL CHECK AND DETAILED INSPECTION FOR CONTAMINATION OF RADIO ALTIMETER FAN,AMM 34-42-00-750-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE RA ANTENNA,AMM 34-42-11-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE RA TRANSCEIVER,AMM 34-42-33-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,NAV RA 1 FAULT.,MEL: 34-40-04,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE ENHANCED GPWS GROUND SELF-TEST FUNCTION.,AMM 34-48-00-710-001-B,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,UPLOADING OF THE ENHANCED GPWC DATABASE,AMM 34-48-00-610-001-A,SGH
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ANTENNA - DME - REMOVAL/ INSTALLATION,AMM 34-51-11-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,INTERROGATOR - DME - REMOVAL/ INSTALLATION,AMM 34-51-33-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,RECEIVER - VOR/MARKER - REMOVAL/ INSTALLATION,AMM 34-55-31-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,VOR 1 INOP.,MEL 34-50-05A,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL CHECK OF FLIGHT CREW OXYGEN SYSTEM,AMM 35-12-41-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE PORTABLE OXYGEN EQUIPMENT,AMM 35-32-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/ INSTALLATION OF THE CREW OXYGEN-STORAGE CYLINDER,AMM 3---00-01A,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,INDICATIONS ON THE DOOR/OXY SD PAGE,MEL 35-07,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,PORTABLE OXYGEN UNIT,MEL 35-30-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,PASSENGER OXYGEN UNIT,MEL 35-20-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,LAVATORY OXYGEN UNIT,MEL 35-20-03,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE OVERHEAT DETECTION SYSTEM,AMM 36-22-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE BMC,AMM 36-11-34-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE PYLON SENSING ELEMENT,AMM 36-22-15-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE WING SENSING ELEMENT,AMM 36-22-16-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE APU SENSING ELEMENT,AMM 36-22-17-04,R/I
